Metric,Value
run_id,20260812T170002_836914-0700
overall_audit_status,WARNING / HOLD
hard_fail_check_count,0
warning_hold_check_count,4
release_version,v2
encounters_metadata_rows,2296
subjects_metadata,1129
images_manifest_rows,16206
reviewed_encounters,1378
unreviewed_encounters,918
manifest_laterality_OD,8739
manifest_laterality_OS,7069
manifest_laterality_UNKNOWN,398
a_scan_unknown_images_removed,398
bscan_candidate_images,15808
bscan_candidate_encounters,2245
bscan_candidate_subjects,1106
encounter_image_count_mismatches,0
reviewed_class_Abnormal,1045
reviewed_class_Normal,303
reviewed_class_Unreadable,15
reviewed_class_No B-scan / A-scan only,13
reviewed_class_Incomplete,2
provisional_eligible_eye_exams,1514
audit_held_eye_exams,4
primary_candidates_after_audit_holds,1510
postoperative_review_queue_count,788
eligible_reviewed_subjects,519
eligible_eye_normal,402
eligible_eye_abnormal,1112
eligible_eyes_blank_findings,0
eye_to_encounter_label_mismatches,0
reviewed_laterality_conflicts,4
duplicate_sha256_groups_global,105
redundant_image_copies_global,135
eligible_eyes_with_exact_duplicates,39
redundant_image_copies_within_eligible_eyes,51
data_dictionary_rows,46
