Metric,Value
run_id,20260812T174303_777178-0700
pilot_lock_status,CREATED
random_seed,42
target_pilot_size,800
source_pool_total,1510
source_normal_count,402
source_normal_percent,26.62251655629139
source_abnormal_count,1108
source_abnormal_percent,73.37748344370861
pilot_total,800
pilot_normal_count,213
pilot_normal_percent,26.625
pilot_abnormal_count,587
pilot_abnormal_percent,73.375
normal_absolute_percentage_point_deviation,0.002483443708609201
abnormal_absolute_percentage_point_deviation,0.0024834437086127537
unique_subjects,369
subjects_with_exactly_one_selected_eye,210
subjects_with_multiple_selected_eyes,159
maximum_selected_eyes_per_subject,32
normal_only_subjects,92
abnormal_only_subjects,221
mixed_subjects,56
postoperative_flagged_pilot_eyes,432
postoperative_flagged_pilot_percent,54.0
postoperative_flagged_normal_eyes,99
postoperative_flagged_abnormal_eyes,333
median_unique_images_per_eye,6.0
mean_unique_images_per_eye,6.18
pilot_eyes_with_fewer_than_6_unique_images,14
pilot_eyes_with_exactly_6_unique_images,716
pilot_eyes_with_more_than_6_unique_images,70
pilot_eyes_with_1_unique_images,3
pilot_eyes_with_2_unique_images,2
pilot_eyes_with_3_unique_images,2
pilot_eyes_with_4_unique_images,4
pilot_eyes_with_5_unique_images,3
pilot_eyes_with_6_unique_images,716
pilot_eyes_with_7_unique_images,35
pilot_eyes_with_8_unique_images,9
pilot_eyes_with_9_unique_images,7
pilot_eyes_with_10_unique_images,4
pilot_eyes_with_11_unique_images,3
pilot_eyes_with_12_unique_images,10
pilot_eyes_with_13_unique_images,1
pilot_eyes_with_18_unique_images,1
