StrategyID,Strategy,StrategyComplexity,RequestedStrategy,AcceptanceRule,RequireModelAgreement,UseViewSD,UseFeatureTypicality,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,ViewSDGateActive,FeatureGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedErrorPercent,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,FalseNegativesAmongAccepted,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,CandidateOperatingPointID,LowestAcceptedErrorAtTarget,FewestFalseNegativesAtTarget,SimplestPreferredAtTarget,LowestErrorStrategies,FewestFalseNegativeStrategies,PreferredStrategyAtTarget
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,2.7774445572096869,,,False,False,120,60,60,0.5,50,0.5,50,0,0,0,1,1,1,1,0,57,3,0,0,50,60,0,confidence_only__coverage_050,True,True,True,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,2.7052958606332651,,,False,False,120,60,60,0.5,50,0.5,50,0,0,0,1,1,1,1,0,57,3,0,0,50,60,0,confidence_model_agreement__coverage_050,True,True,False,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,2.7774445572096869,0.42641146551730086,,False,False,120,60,60,0.5,50,0.5,50,0,0,0,1,1,1,1,0,57,3,0,0,50,60,0,confidence_view_sd__coverage_050,True,True,False,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,2.7052958606332651,0.42641146551730086,98.360655737704917,False,False,120,60,60,0.5,50,0.5,50,0,0,0,1,1,1,1,0,57,3,0,0,50,60,0,full_reliability__coverage_050,True,True,False,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,2.1398537110154803,,,False,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,2,0.027777777777777776,2.7777777777777777,0.97222222222222221,0.98360655737704916,0.90909090909090906,0.94634873323397906,1,60,10,1,1,60,72,0,confidence_only__coverage_060,False,True,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,2.1209951772525115,,,False,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,2,0.027777777777777776,2.7777777777777777,0.97222222222222221,0.98333333333333328,0.91666666666666663,0.94999999999999996,1,59,11,1,1,60,72,0,confidence_model_agreement__coverage_060,False,True,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,1.9866783804094184,0.3184758880922276,,True,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,1,0.013888888888888888,1.3888888888888888,0.98611111111111116,0.98305084745762716,1,0.99152542372881358,1,58,13,0,1,60,72,0,confidence_view_sd__coverage_060,True,True,True,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,2.0679146061648486,0.33322164747457844,98.360655737704917,True,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,1,0.013888888888888888,1.3888888888888888,0.98611111111111116,0.98305084745762716,1,0.99152542372881358,1,58,13,0,1,60,72,0,full_reliability__coverage_060,True,True,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence only; Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,1.7864629547709412,,,False,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,3,0.035714285714285712,3.5714285714285716,0.9642857142857143,0.97014925373134331,0.94117647058823528,0.95566286215978935,2,65,16,1,2,70,84,0,confidence_only__coverage_070,False,False,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,1.7292572105420478,,,False,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,2,0.023809523809523808,2.3809523809523809,0.97619047619047616,0.98461538461538467,0.94736842105263153,0.96599190283400804,1,64,18,1,1,70,84,0,confidence_model_agreement__coverage_070,False,True,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
