Full__AcceptedCount,Full__Coverage,Full__AcceptedErrors,Full__AcceptedErrorRate,Full__FalseNegativesAmongAccepted,Full__AcceptedBalancedAccuracy,Full__FeaturePercentileThreshold,Full__FeatureGateActive,Ablation__AcceptedCount,Ablation__Coverage,Ablation__AcceptedErrors,Ablation__AcceptedErrorRate,Ablation__FalseNegativesAmongAccepted,Ablation__AcceptedBalancedAccuracy,FeatureImprovesAcceptedErrors,FeatureImprovesFalseNegatives,AcceptedErrorDeltaFullMinusAblation,FalseNegativeDeltaFullMinusAblation
0,0,0,,0,,98.360655737704917,False,0,0,0,,0,,False,False,0,0
1,0.0083333333333333332,0,0,0,,98.360655737704917,False,1,0.0083333333333333332,0,0,0,,False,False,0,0
2,0.016666666666666666,0,0,0,,98.360655737704917,False,2,0.016666666666666666,0,0,0,,False,False,0,0
3,0.025000000000000001,0,0,0,,98.360655737704917,False,3,0.025000000000000001,0,0,0,,False,False,0,0
4,0.033333333333333333,0,0,0,,98.360655737704917,False,4,0.033333333333333333,0,0,0,,False,False,0,0
5,0.041666666666666664,0,0,0,,98.360655737704917,False,5,0.041666666666666664,0,0,0,,False,False,0,0
6,0.050000000000000003,0,0,0,,98.360655737704917,False,6,0.050000000000000003,0,0,0,,False,False,0,0
7,0.058333333333333334,0,0,0,,98.360655737704917,False,7,0.058333333333333334,0,0,0,,False,False,0,0
8,0.066666666666666666,0,0,0,,98.360655737704917,False,8,0.066666666666666666,0,0,0,,False,False,0,0
9,0.074999999999999997,0,0,0,1,21.311475409836067,True,9,0.074999999999999997,0,0,0,,False,False,0,0
10,0.083333333333333329,0,0,0,1,21.311475409836067,True,10,0.083333333333333329,0,0,0,,False,False,0,0
11,0.09166666666666666,0,0,0,1,23.195876288659793,True,11,0.09166666666666666,0,0,0,,False,False,0,0
12,0.10000000000000001,0,0,0,1,29.508196721311474,True,12,0.10000000000000001,0,0,0,,False,False,0,0
13,0.10833333333333334,0,0,0,1,44.329896907216494,True,13,0.10833333333333334,0,0,0,,False,False,0,0
14,0.11666666666666667,0,0,0,1,45.360824742268044,True,14,0.11666666666666667,0,0,0,,False,False,0,0
15,0.125,0,0,0,1,49.180327868852459,True,15,0.125,0,0,0,,False,False,0,0
16,0.13333333333333333,0,0,0,1,51.546391752577321,True,16,0.13333333333333333,0,0,0,,False,False,0,0
17,0.14166666666666666,0,0,0,1,98.360655737704917,False,17,0.14166666666666666,0,0,0,1,False,False,0,0
18,0.14999999999999999,0,0,0,1,98.360655737704917,False,18,0.14999999999999999,0,0,0,1,False,False,0,0
19,0.15833333333333333,0,0,0,1,98.360655737704917,False,19,0.15833333333333333,0,0,0,1,False,False,0,0
20,0.16666666666666666,0,0,0,1,98.360655737704917,False,20,0.16666666666666666,0,0,0,1,False,False,0,0
21,0.17499999999999999,0,0,0,1,98.360655737704917,False,21,0.17499999999999999,0,0,0,1,False,False,0,0
22,0.18333333333333332,0,0,0,1,98.360655737704917,False,22,0.18333333333333332,0,0,0,1,False,False,0,0
23,0.19166666666666668,0,0,0,1,98.360655737704917,False,23,0.19166666666666668,0,0,0,1,False,False,0,0
24,0.20000000000000001,0,0,0,1,98.360655737704917,False,24,0.20000000000000001,0,0,0,1,False,False,0,0
25,0.20833333333333334,0,0,0,1,98.360655737704917,False,25,0.20833333333333334,0,0,0,1,False,False,0,0
26,0.21666666666666667,0,0,0,1,98.360655737704917,False,26,0.21666666666666667,0,0,0,1,False,False,0,0
27,0.22500000000000001,0,0,0,1,98.360655737704917,False,27,0.22500000000000001,0,0,0,1,False,False,0,0
28,0.23333333333333334,0,0,0,1,98.360655737704917,False,28,0.23333333333333334,0,0,0,1,False,False,0,0
29,0.24166666666666667,0,0,0,1,98.360655737704917,False,29,0.24166666666666667,0,0,0,1,False,False,0,0
30,0.25,0,0,0,1,98.360655737704917,False,30,0.25,0,0,0,1,False,False,0,0
31,0.25833333333333336,0,0,0,1,98.360655737704917,False,31,0.25833333333333336,0,0,0,1,False,False,0,0
32,0.26666666666666666,0,0,0,1,98.360655737704917,False,32,0.26666666666666666,0,0,0,1,False,False,0,0
33,0.27500000000000002,0,0,0,1,98.360655737704917,False,33,0.27500000000000002,0,0,0,1,False,False,0,0
34,0.28333333333333333,0,0,0,1,98.360655737704917,False,34,0.28333333333333333,0,0,0,1,False,False,0,0
35,0.29166666666666669,0,0,0,1,98.360655737704917,False,35,0.29166666666666669,0,0,0,1,False,False,0,0
36,0.29999999999999999,0,0,0,1,98.360655737704917,False,36,0.29999999999999999,0,0,0,1,False,False,0,0
37,0.30833333333333335,0,0,0,1,98.360655737704917,False,37,0.30833333333333335,0,0,0,1,False,False,0,0
38,0.31666666666666665,0,0,0,1,98.360655737704917,False,38,0.31666666666666665,0,0,0,1,False,False,0,0
39,0.32500000000000001,0,0,0,1,98.360655737704917,False,39,0.32500000000000001,0,0,0,1,False,False,0,0
40,0.33333333333333331,0,0,0,1,98.360655737704917,False,40,0.33333333333333331,0,0,0,1,False,False,0,0
