Check,Status,Observed,Expected,Details
Locked Day-5 reliability table exists,PASS,True,True,
Locked Day-5 reliability SHA-256,PASS,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,
Required Day-5 columns are present,PASS,[],[],
Validation row count,PASS,120,120,
Validation EyeExamID is unique,PASS,0,0,
EyeExamID has no blank values,PASS,0,0,
ResearchSubjectID has no blank values,PASS,0,0,
EncounterID has no blank values,PASS,0,0,
Laterality has no blank values,PASS,0,0,
Validation subject count,PASS,95,95,
Only OD/OS laterality,PASS,"['OD', 'OS']","['OD', 'OS']",
True labels are Normal/Abnormal,PASS,[],[],
Day-4 predictions are Normal/Abnormal,PASS,[],[],
Validation Normal count,PASS,32,32,
Validation Abnormal count,PASS,88,88,
Day-4 Correct flags reproduce,PASS,0,0,
ModelAgreement flags reproduce,PASS,0,0,
Validation correct count,PASS,110,110,
Validation incorrect count,PASS,10,10,
Validation model-agreement count,PASS,112,112,
Day4EyeProbability is finite,PASS,0,0,
PrimaryConfidenceMargin is finite,PASS,0,0,
Day3StdViewProbability is finite,PASS,0,0,
PredictedClassReferencePercentile is finite,PASS,0,0,
"Day-4 probabilities are within [0,1]",PASS,0.0027841373812407255..0.99260437488555908,0..1,
Confidence margins are nonnegative,PASS,0.002178963796288791,>=0,
View SD values are nonnegative,PASS,8.613004139394807e-05,>=0,
"Feature reference percentiles are within [0,100]",PASS,0..98.360655737704917,0..100,
View probability range is excluded from routing signals,PASS,"['Day3StdViewProbability', 'ModelAgreement', 'PredictedClassReferencePercentile', 'PrimaryConfidenceMargin']",Day3ViewProbabilityRange absent,
confidence_only: every attainable accepted count is represented,PASS,0..120 (121 rows),0..120 (121 rows),
confidence_only: coverage is monotone by accepted count,PASS,True,True,
confidence_only: all threshold rules reproduce accepted counts,PASS,all rows,all rows,
confidence_model_agreement: every attainable accepted count is represented,PASS,0..112 (113 rows),0..112 (113 rows),
confidence_model_agreement: coverage is monotone by accepted count,PASS,True,True,
confidence_model_agreement: all threshold rules reproduce accepted counts,PASS,all rows,all rows,
confidence_view_sd: every attainable accepted count is represented,PASS,0..120 (121 rows),0..120 (121 rows),
confidence_view_sd: coverage is monotone by accepted count,PASS,True,True,
confidence_view_sd: all threshold rules reproduce accepted counts,PASS,all rows,all rows,
full_reliability: every attainable accepted count is represented,PASS,0..112 (113 rows),0..112 (113 rows),
full_reliability: coverage is monotone by accepted count,PASS,True,True,
full_reliability: all threshold rules reproduce accepted counts,PASS,all rows,all rows,
confidence_agreement_view_sd_ablation: every attainable accepted count is represented,PASS,0..112 (113 rows),0..112 (113 rows),
confidence_agreement_view_sd_ablation: coverage is monotone by accepted count,PASS,True,True,
confidence_agreement_view_sd_ablation: all threshold rules reproduce accepted counts,PASS,all rows,all rows,
Exactly four requested strategies,PASS,"['confidence_model_agreement', 'confidence_only', 'confidence_view_sd', 'full_reliability']","['confidence_model_agreement', 'confidence_only', 'confidence_view_sd', 'full_reliability']",
Five common targets per strategy,PASS,20,20,
All candidate metrics independently reproduce,PASS,20,20,
No final operating point was selected,PASS,False,False,
Feature matched ablation compared every agreement-attainable count,PASS,113,113,
Feature typicality has no strict accepted-error improvement,PASS,0,0,
Feature typicality has no strict false-negative improvement,PASS,0,0,
Loaded-path registry contains only the locked validation table,PASS,['F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\reliability\\20260814T141442_497529-0700\\val_reliability_signals.csv'],['F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\reliability\\20260814T141442_497529-0700\\val_reliability_signals.csv'],
No loaded path is a test artifact,PASS,False,False,
Locked Day-5 table unchanged during execution,PASS,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,
Every validation routing file has five rows per eye,PASS,600,600,Output reads only; no model-input or test artifact is accessed.
Every routing candidate contains exactly the locked validation EyeExamIDs,PASS,all candidate ID sets,exact locked validation ID set,This proves output scope without loading test IDs.
Routing Accepted flags reproduce candidate accepted counts,PASS,all 20 candidate masks,all 20 candidate masks,
Risk-coverage figure exists and is nonempty,PASS,155657,>0 bytes,
