AcceptedErrorCountBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,HighestCoverageWinner,HighestCoverageStrategies
0,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,2.2084707824028404,,,True,Confidence only; Confidence + view SD
0,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,2.2084707824028404,,,False,Confidence only; Confidence + view SD
0,confidence_view_sd,Confidence + view SD,69,0.57499999999999996,57.5,0,0,0,2.2084707824028404,0.42641146551730086,,True,Confidence only; Confidence + view SD
0,full_reliability,Confidence + agreement + view SD + feature typicality,68,0.56666666666666665,56.666666666666664,0,0,0,2.2084707824028404,0.42641146551730086,98.360655737704917,False,Confidence only; Confidence + view SD
1,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,2.1838475205583059,,,False,Confidence + agreement + view SD + feature typicality
1,confidence_model_agreement,Confidence + model agreement,69,0.57499999999999996,57.5,1,0.014492753623188406,0,2.1838475205583059,,,False,Confidence + agreement + view SD + feature typicality
1,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,0.73695406291178678,0.31222281576648309,,False,Confidence + agreement + view SD + feature typicality
1,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,0.83179976063869354,0.33322164747457844,98.360655737704917,True,Confidence + agreement + view SD + feature typicality
2,confidence_only,Confidence only,73,0.60833333333333328,60.833333333333336,2,0.027397260273972601,1,2.1284394988275337,,,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
2,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,0.83179976063869354,,,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
2,confidence_view_sd,Confidence + view SD,91,0.7583333333333333,75.833333333333329,2,0.02197802197802198,2,0.58934120281005065,0.31222281576648309,,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
2,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,0.83179976063869354,0.42641146551730086,98.360655737704917,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
3,confidence_only,Confidence only,91,0.7583333333333333,75.833333333333329,3,0.032967032967032968,2,1.5274385258338825,,,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
3,confidence_model_agreement,Confidence + model agreement,99,0.82499999999999996,82.5,3,0.030303030303030304,1,0.73695406291178678,,,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
3,confidence_view_sd,Confidence + view SD,94,0.78333333333333333,78.333333333333329,3,0.031914893617021274,2,0.50927913018746063,0.31222281576648309,,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
