AnalysisType,Method,Measure,PredictionGroup,RiskBandPercent,Count,Mean,Median,StandardDeviation,Percentile25,Percentile75,ErrorDetectionAUROC,CapturedErrors,TotalErrors,ErrorCapturePercent,CorrelationSignal,SpearmanRho,UniqueErrorsBeyondConfidenceAndViewSD,Notes,DataScope,TestStatus
GroupSummary,centroid_baseline,Distance,Correct,,110,0.044705675492536484,0.035817074538959603,0.026114299607005877,0.027886728285022838,0.053538643565012228,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,centroid_baseline,Distance,Incorrect,,10,0.045727813801443952,0.034431610919386735,0.026892890239901934,0.026250360367536307,0.059510033374022914,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,centroid_baseline,ReferencePercentile,Correct,,110,59.333276998478965,61.559912117627178,31.500279242425677,29.991972283251648,93.814432989690715,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,centroid_baseline,ReferencePercentile,Incorrect,,10,86.753422342403255,93.628527970255192,12.591631186765222,83.196721311475414,95.081967213114751,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorDetection,centroid_baseline,ReferencePercentile,,,120,,,,,,0.74727272727272731,,10,,,,,Incorrect Day-4 prediction is the positive outcome; higher atypicality is higher risk.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,centroid_baseline,ReferencePercentile,,,120,,,,,,,,10,,PrimaryConfidenceMargin,-0.70415674183131294,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,centroid_baseline,ReferencePercentile,,,120,,,,,,,,10,,Day3StdViewProbability,0.69177714026373838,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,centroid_baseline,ReferencePercentile,,10,12,,,,,,,2,10,20,,,2,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,centroid_baseline,ReferencePercentile,,20,24,,,,,,,4,10,40,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,centroid_baseline,ReferencePercentile,,25,30,,,,,,,4,10,40,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,centroid_baseline,ReferencePercentile,,30,36,,,,,,,6,10,60,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k3,Distance,Correct,,110,0.045265218864010415,0.041594462640698715,0.016091167201970798,0.035584666372595969,0.052456759957670039,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k3,Distance,Incorrect,,10,0.045241554899601404,0.041480215668120449,0.014998903013743669,0.032835225646340449,0.06053404136172115,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k3,ReferencePercentile,Correct,,110,66.802280025197049,75.257731958762889,29.841217181308455,44.279195538279531,95.022815616021632,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k3,ReferencePercentile,Incorrect,,10,87.723508534730442,95.081967213114751,16.616403164380735,84.426229508196727,97.997295926990034,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorDetection,knn_k3,ReferencePercentile,,,120,,,,,,0.68227272727272725,,10,,,,,Incorrect Day-4 prediction is the positive outcome; higher atypicality is higher risk.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,knn_k3,ReferencePercentile,,,120,,,,,,,,10,,PrimaryConfidenceMargin,-0.50587947294551816,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,knn_k3,ReferencePercentile,,,120,,,,,,,,10,,Day3StdViewProbability,0.66411691762116942,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k3,ReferencePercentile,,10,12,,,,,,,0,10,0,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k3,ReferencePercentile,,20,24,,,,,,,3,10,30,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k3,ReferencePercentile,,25,30,,,,,,,3,10,30,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k3,ReferencePercentile,,30,36,,,,,,,6,10,60,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k5,Distance,Correct,,110,0.046647294402548806,0.042198546635515234,0.016581318470313189,0.036575886384638719,0.053509964022592942,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k5,Distance,Incorrect,,10,0.046747793622266956,0.042721515017948727,0.015560555594918762,0.03453077907055311,0.061782171246440712,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k5,ReferencePercentile,Correct,,110,66.384838754282725,74.484536082474222,29.86461632459104,42.356768632753088,93.277843501774541,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k5,ReferencePercentile,Incorrect,,10,87.723508534730428,93.442622950819668,15.126326089953684,86.06557377049181,97.587459861416264,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorDetection,knn_k5,ReferencePercentile,,,120,,,,,,0.68999999999999995,,10,,,,,Incorrect Day-4 prediction is the positive outcome; higher atypicality is higher risk.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
