StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,MatchedBaseAcceptedErrors,MatchedBaseFalseNegatives,ErrorDifferenceVsMatchedBase,FalseNegativeDifferenceVsMatchedBase,StrictImprovementAtMatchedAcceptedCount,BaseMaxCoverageAtSameErrorConstraint,KNNMaxCoverageAtSameErrorConstraint,StrictHigherCoverageAtSameErrorConstraint,AnyStrictKNNImprovement
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,2.7774445572096869,,,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,2.7052958606332651,,,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,,,,,False,,,False,False
c_view_sd,C + ViewSD,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,10,2.7774445572096869,0.42641146551730086,,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,,,,,False,,,False,False
c_agreement_view_sd,C + Agreement + ViewSD,3,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold,True,True,False,10,2.7052958606332651,0.42641146551730086,,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,,,,,False,,,False,False
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,2.7774445572096869,,100,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,0,0,0,0,False,0.57499999999999996,0.57499999999999996,False,False
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,2.7052958606332651,,100,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,0,0,0,0,False,0.56666666666666665,0.56666666666666665,False,False
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,2.7774445572096869,0.42641146551730086,100,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,0,0,0,0,False,0.57499999999999996,0.57499999999999996,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,2.7052958606332651,0.42641146551730086,100,False,False,120,60,60,0.5,50,0.5,50,0,0,1,1,1,1,57,3,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,50,60,0,0,0,0,0,False,0.56666666666666665,0.56666666666666665,False,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,2.1398537110154803,,,False,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,2,0.027777777777777776,0.97222222222222221,0.98360655737704916,0.90909090909090906,0.94634873323397906,60,10,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,2.1209951772525115,,,False,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,2,0.027777777777777776,0.97222222222222221,0.98333333333333328,0.91666666666666663,0.94999999999999996,59,11,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,,,,,False,,,False,False
