Check,Status,Observed,Expected,Severity,DataScope,TestStatus
input exists: train_eye_embeddings.csv,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input SHA-256: train_eye_embeddings.csv,PASS,4c51fdfd5e4bcc5583974c43d9e0563105ebb04e18f019c65236a236d06b77d8,4c51fdfd5e4bcc5583974c43d9e0563105ebb04e18f019c65236a236d06b77d8,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input exists: val_eye_embeddings.csv,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input SHA-256: val_eye_embeddings.csv,PASS,22563615dd5e2d61ad0cdbdc8225084abd2a5a7a878333eec5d946f05bd22045,22563615dd5e2d61ad0cdbdc8225084abd2a5a7a878333eec5d946f05bd22045,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input exists: val_reliability_signals.csv,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input SHA-256: val_reliability_signals.csv,PASS,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,a767b163b3565a9fe664068c5fd18e96e4f13bf4dea7040ee179f098b477edb8,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input exists: feature_distribution_comparison.csv,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input SHA-256: feature_distribution_comparison.csv,PASS,bb976c0d8ce461be6164caf4ca97e93b09142d4c07a0b9500f996180e4a1ea30,bb976c0d8ce461be6164caf4ca97e93b09142d4c07a0b9500f996180e4a1ea30,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input exists: feature_distribution_metadata.json,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
input SHA-256: feature_distribution_metadata.json,PASS,192cea121197165bbe1a3ecb41d55d4b4eb373b9d18a06237c79ee410631fc24,192cea121197165bbe1a3ecb41d55d4b4eb373b9d18a06237c79ee410631fc24,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
