Metric,Value
release_version,v2
encounters_metadata_rows,2296
subjects_metadata,1129
images_manifest_rows,16206
reviewed_encounters,1378
unreviewed_encounters,918
encounter_image_count_mismatches,0
manifest_laterality_OD,8739
manifest_laterality_OS,7069
manifest_laterality_UNKNOWN,398
a_scan_unknown_images_removed,398
bscan_candidate_images,15808
bscan_candidate_encounters,2245
bscan_candidate_subjects,1106
reviewed_class_Abnormal,1045
reviewed_class_Normal,303
reviewed_class_Unreadable,15
reviewed_class_No B-scan / A-scan only,13
reviewed_class_Incomplete,2
reviewed_laterality_conflicts,4
eligible_eyes_blank_findings,0
eligible_reviewed_eye_exams,1514
eligible_reviewed_subjects,519
eligible_eye_normal,402
eligible_eye_abnormal,1112
eye_to_encounter_label_mismatches,0
duplicate_sha256_groups_global,105
redundant_image_copies_global,135
eligible_eyes_with_exact_duplicates,39
redundant_image_copies_within_eligible_eyes,51
data_dictionary_rows,46
