ValidationConfidencePercentile,PrimaryConfidenceMarginCutoff,ReferenceDistancePercentileCutoff,IncorrectHighConfidenceEyes,IncorrectHighConfidenceAndAtypicalEyes,MaximumReferencePercentileAmongIncorrectHighConfidence
50,2.7413701713085175,90,0,0,
50,2.7413701713085175,95,0,0,
50,2.7413701713085175,97.5,0,0,
75,4.9795351231881426,90,0,0,
75,4.9795351231881426,95,0,0,
75,4.9795351231881426,97.5,0,0,
90,5.7536701346226975,90,0,0,
90,5.7536701346226975,95,0,0,
90,5.7536701346226975,97.5,0,0,
95,6.189282777387743,90,0,0,
95,6.189282777387743,95,0,0,
95,6.189282777387743,97.5,0,0,
